# Time	NodeID	serviceID
0.0186060711107	7	2
0.0216024942328	9	2
0.0369179427087	11	3
0.0456737990975	8	3
0.0489843980173	7	4
0.05186797224	8	9
0.0684867243229	8	2
0.0815738279176	8	5
0.0879631211799	13	3
0.0974019753886	8	9
0.103883900472	7	1
0.120232884804	9	1
0.132952000206	12	7
0.143982818867	13	3
0.164202304853	14	2
0.184640827619	14	4
0.187367001173	8	6
0.193308522274	13	2
0.200400081518	8	1
0.208413359232	10	3
0.225258577015	9	9
0.234501443859	9	3
0.243571950925	12	4
0.247001495971	14	1
0.256488942562	10	3
0.257430119446	7	7
0.28311922344	7	8
0.308769434216	9	2
0.320986844835	11	6
0.339923834281	8	4
0.369834241886	9	3
0.380629558124	8	8
0.396395639873	13	4
0.403059605806	10	7
0.405843996642	10	1
0.408334516297	7	2
0.425257989612	13	1
0.437220372216	13	4
0.461301607872	9	5
0.461572204135	10	4
0.470151312718	12	2
0.509533263293	13	1
0.541983223414	14	1
0.544347747007	7	8
0.544578208096	12	1
0.547588176512	14	4
0.551900529271	14	3
0.552302279508	13	9
0.554525665643	11	5
0.572747433771	8	1
0.583914398949	8	1
0.595190746431	7	2
0.598076735882	9	3
0.59999826698	12	2
0.608417354977	9	2
0.612835819786	7	1
0.621059275957	13	6
0.625152750621	13	2
0.627898835118	8	2
0.631293894262	11	9
0.641338226807	9	5
0.646248738398	12	4
0.646263992245	14	2
0.649000678919	10	2
0.669829023166	9	2
0.674975135553	10	2
0.6858280266	13	3
0.688828636	14	3
0.695508609088	9	6
0.717039503189	12	2
0.723329820091	7	7
0.740065048515	14	9
0.750091401643	13	5
0.793383072274	12	5
0.797183635949	14	5
0.79720723943	7	3
0.798236256416	13	4
0.818923553516	11	9
0.81997916653	7	2
0.820827617418	11	3
0.836546222675	7	1
0.843903962545	10	2
0.864450580514	11	1
0.864865711948	10	4
0.894146925625	8	8
0.894576047942	10	5
0.905228650897	10	8
0.915449086359	11	3
0.917779057036	9	1
0.919416290922	11	6
0.93209249873	11	4
0.932513257257	14	9
0.935931554833	12	3
0.939404559361	12	1
0.939899155047	14	3
0.940634144606	12	2
0.945990821234	13	8
0.952415450322	7	9
0.956626085559	12	5
0.962186674932	11	5
0.984667623007	8	4
0.989376805021	8	4
0.990057823535	13	6
0.99068888468	13	2
0.998007842289	12	3
1.00679992836	10	2
1.01139383314	8	1
1.02640416046	12	2
1.02706404096	7	5
1.0503955879	12	5
1.05166154617	12	1
1.05209167998	8	1
1.05367407263	14	2
1.06157927526	14	9
1.10231834989	14	2
1.11371048931	8	3
1.13860526083	11	3
1.14550970104	10	1
1.15491990638	14	2
1.1877717891	8	7
1.18813291451	14	1
1.20346539769	7	4
1.21612854936	7	1
1.21701296212	7	1
1.2195630544	13	1
1.23813914278	11	1
1.23975045336	10	9
1.24678242232	8	3
1.2553125886	10	6
1.26949441831	8	6
1.29311572314	14	3
1.30224404692	7	3
1.31790018138	12	4
1.33695954254	7	5
1.33696194979	14	3
1.33989840664	13	7
1.36853615656	11	2
1.38514544429	13	4
1.38650731703	11	7
1.3870785993	13	2
1.39384801059	7	5
1.40504260575	14	9
1.41033827723	9	2
1.41082002638	12	1
1.41115006795	9	4
1.41226265587	9	2
1.41709823175	7	3
1.43840782166	9	3
1.44841304433	11	1
1.45988675185	9	6
1.46124619916	8	6
1.48612178978	7	5
1.50274231317	9	6
1.50483875728	7	3
1.51896991473	12	6
1.51975320201	13	8
1.52641173474	8	9
1.53739319329	9	1
1.53837457345	7	8
1.55348842073	10	2
1.55713133938	13	2
1.56547874578	8	8
1.57085114673	13	6
1.58410424352	13	3
1.59570119075	13	8
1.62846689865	10	1
1.62919614885	11	1
1.63347138085	13	9
1.65056433344	13	8
1.65289599505	14	5
1.68074459503	13	1
1.68535115196	13	4
1.70495356812	14	1
1.70917636914	8	1
