# ServiceID	serviceTime	serviceDeadline
0	0.084597763301	0.127705711433
1	0.0426365865023	0.0632878402654
2	0.0516161974155	0.0788382336008
3	0.0785960603144	0.101245132988
4	0.0481830984611	0.0834352902366
5	0.0909031756343	0.122614084146
6	0.0289019465956	0.0719131357826
7	0.0622185306709	0.0824913160322
8	0.0910648793409	0.144290225763
9	0.0812115063637	0.130808974133
10	0.0317046093626	0.0735470380343
11	0.0899849905088	0.129764267445
12	0.0477421288298	0.0612736831929
13	0.0439830117099	0.0804729255149
14	0.0913880942706	0.14388538082
15	0.0482239678787	0.0961629146284
16	0.0267887387288	0.0720149909444
17	0.0553212310797	0.0649531075871
18	0.072250763954	0.0991978233541
19	0.0826596527377	0.121726546793
20	0.00111313911213	0.0323241431031
21	0.0868926747738	0.106868664234
22	0.033195231912	0.0813664373569
23	0.0199156420587	0.0544536253867
24	0.0246229769329	0.077162288196
25	0.0805147674587	0.109673398173
26	0.0089641360367	0.032366593247
27	0.0512861236095	0.1022636457
28	0.0117967267472	0.0456037528213
29	0.0709495795768	0.104584420587
30	0.0816322194658	0.11494498178
31	0.0964200160514	0.13256336931
32	0.0591740893534	0.0881985955358
33	0.0600323992967	0.0863529508655
34	0.0579894504023	0.0800542780104
35	0.0197497415269	0.0371525702984
36	0.061664544807	0.100214217312
37	0.0481765682089	0.0612186644627
38	0.0760027882747	0.124457454962
39	0.0924147205787	0.13932543062
40	0.0899191390144	0.140457848806
41	0.0545193925699	0.0811277148304
42	0.0708230565856	0.0922265920446
43	0.0813512421423	0.128578110576
44	0.0896088577752	0.125149911034
45	0.09502672245	0.130112997934
46	0.0456057475565	0.0843167895945
47	0.099629526096	0.149891880904
48	0.0795391833289	0.0922459677977
49	0.061665527399	0.0925555164876
50	0.0633845867007	0.110413077606
51	0.0250605265841	0.0669775415197
52	0.0125962950276	0.0315170191867
53	0.0796637141993	0.103627840914
54	0.0817753965568	0.0953027349666
55	0.0154894904023	0.0558846692109
56	0.0054781727187	0.0403021443742
57	0.0910915854552	0.124130494027
58	0.0683783241237	0.0785796798835
59	0.0638649910812	0.10015021988
60	0.0580193418551	0.0846237652746
61	0.0376438540932	0.0907671033723
62	0.00460281172354	0.014576454667
63	0.0961420967437	0.113465834107
64	0.013265621278	0.0317415642229
65	0.0802739124451	0.131437524584
66	0.0032554749912	0.0314083224297
67	0.011048521718	0.0317449167587
68	0.0228620978603	0.0609737552529
69	0.0356791027723	0.0527934083411
70	0.0508600140158	0.0616320558346
71	0.0109912028777	0.0644617845702
72	0.0207362232562	0.0458712118153
73	0.0734282323163	0.12015292775
74	0.0919297241375	0.108553831412
75	0.0675914157937	0.120086116431
76	0.00674704343882	0.0461761237323
77	0.0846970347765	0.109101099125
78	0.0258180465892	0.0616736592953
79	0.0447890893362	0.0616559661365
80	0.0476909160945	0.0751366588991
81	0.0573421612129	0.0892291670657
82	0.031833154099	0.0569049798156
83	0.0839284562625	0.10422042618
84	0.0564994216665	0.0660590560138
85	0.0744158633637	0.098532108315
86	0.00552395286327	0.0271636952531
87	0.0247729103748	0.0766637306671
88	0.03587033059	0.0578248367586
89	0.0365609185281	0.0881716811327
90	0.0637410373727	0.100689495426
91	0.0718463156798	0.0983070912689
92	0.0420273808394	0.0803148596413
93	0.00115089796382	0.0188048273198
94	0.0341057673756	0.053879485584
95	0.0641025407118	0.0901417038763
96	0.0876669157796	0.122233729721
97	0.0420262332717	0.069128251652
98	0.0704811327694	0.0983013276676
99	0.0665573930084	0.0776624788765
